init_type,iters,time_total,f_final,grad_final,alpha,backtraking
Classical,1,0.004821444003027864,71818.1038737179,36700.10569244315,0.0009765625,10
Classical,2,0.009532590003800578,4496.738715261852,18022.998076388052,0.0009765625,10
Classical,3,0.01424772300379118,2861.782647758583,1975.4081961013394,0.00390625,8
Classical,4,0.019015204001334496,1387.4745209608832,3925.4598150093484,0.0009765625,10
Classical,5,0.024179195999749936,645.3475821963053,1544.7872522052232,0.0009765625,10
Classical,6,0.028827893002016935,405.60944455770385,495.2047671135085,0.001953125,9
Classical,7,0.03356874500605045,403.61527091901416,393.35642162061794,0.00390625,8
Classical,8,0.038224796000577044,280.7229877764071,316.66911672148666,0.0078125,7
Classical,9,0.044291614001849666,204.80737716891022,325.34626592086215,0.00390625,8
Classical,10,0.04918986300617689,164.58011527775363,217.5718959876043,0.00390625,8
Classical,11,0.058201548003125936,156.5653893655391,46.34201522205463,0.0078125,7
Classical,12,0.06469590400229208,156.32421436594518,11.410922600463252,0.0078125,7
Classical,13,0.06943018300080439,156.28884895566964,7.640152502436733,0.0078125,7
Classical,14,0.07406954299949575,156.19268759241913,9.464363817357333,0.00390625,8
Classical,15,0.0786022510001203,156.15149860068112,6.279354373612347,0.00390625,8
Classical,16,0.08310753800469683,156.12201433674454,4.6883514260568955,0.00390625,8
Classical,17,0.08756440200522775,156.0973211816662,3.7503431084150987,0.00390625,8
Classical,18,0.09241295800165972,156.08959023597959,3.1780418445176926,0.0078125,7
Classical,19,0.09703476400318323,156.0572446342431,6.38210846969845,0.00390625,8
Classical,20,0.10160664599970914,156.02983896877237,5.4248341717854105,0.00390625,8
Classical,21,0.10610170300060418,156.00518444081143,4.763328626380153,0.00390625,8
Classical,22,0.11092344800272258,155.98220061698652,4.299353931425989,0.00390625,8
Classical,23,0.1158751180046238,155.96025166808616,3.9834054838530677,0.00390625,8
Classical,24,0.1204306190047646,155.93901788873433,3.7703026312168033,0.00390625,8
Classical,25,0.12493381099920953,155.9182719282718,3.639445072880784,0.00390625,8
Classical,26,0.1294305110059213,155.89798088143112,3.5717558000503136,0.00390625,8
Classical,27,0.1339443340038997,155.87803197988484,3.5619049623408587,0.00390625,8
Classical,28,0.13844063300348353,155.85856918467215,3.6055699453976167,0.00390625,8
Classical,29,0.14296990500588436,155.83953107495068,3.7076980021112,0.00390625,8
Classical,30,0.14749134200246772,155.82128176358475,3.8760383498710254,0.00390625,8
